date	place	strikes
2015-12-01	Al Hawl	1
2015-12-01	Al Hawijah	1
2015-12-01	Habbaniyah	1
2015-12-01	Makhmur	1
2015-12-01	Ramadi	5
2015-12-01	Sinjar	3
2015-12-01	Al Qaim	1
2015-12-01	Sultan Abdallah	1
2015-11-30	Dayr Az Zawr	1
2015-11-30	Al Hawl	2
2015-11-30	Albu Hayat	1
2015-11-30	Fallujah	1
2015-11-30	Habbaniyah	1
2015-11-30	Mosul	1
2015-11-30	Qayyarah	1
2015-11-30	Ramadi	5
2015-11-30	Sinjar	2
2015-11-28	Ayn Isa	3
2015-11-28	Al Baghdadi	2
2015-11-28	Albu Hayat	1
2015-11-28	Mosul	3
2015-11-28	Ramadi	7
2015-11-28	Sinjar	4
2015-11-27	Fallujah	2
2015-11-27	Kisik	2
2015-11-27	Ramadi	7
2015-11-27	Sinjar	5
2015-11-27	Sultan Abdallah	1
2015-11-27	Tal Afar	1
2015-11-26	Al Hawl	2
2015-11-26	Ar Raqqah	2
2015-11-26	Al Baghdadi	1
2015-11-26	Albu Hayat	1
2015-11-26	Kisik	2
2015-11-26	Mosul	5
2015-11-26	Ramadi	7
2015-11-26	Sinjar	5
2015-11-26	Sultan Abdallah	2
2015-11-25	Al Hasakah	3
2015-11-25	Ayn Isa	1
2015-11-24	Al Hasakah	3
2015-11-24	Al Hawl	2
2015-11-24	Ar Raqqah	1
2015-11-22	Al Hasakah	5
2015-11-22	Al Hawl	3
2015-11-21	Abu Kamal	1
2015-11-21	Al Hasakah	4
2015-11-21	Al Hawl	2
2015-11-21	Ar Raqqah	1
2015-11-21	Dayr Az Zawr	1
2015-11-15	Al Hasakah	2
2015-11-15	Ar Raqqah	1
2015-11-14	Al Hawl	4
2015-11-14	Ar Raqqah	2
2015-11-12	Al Hawl	8
2015-11-12	Albu Hayat	1
2015-11-12	Kisik	2
2015-11-12	Mosul	1
2015-11-12	Ramadi	6
2015-11-12	Sinjar	24
2015-11-12	Tal Afar	6
2015-11-08	Al Hasakah	3
2015-11-08	Al Hawl	6
2015-11-07	Al Hawl	2
2015-11-07	Dayr Az Zawr	1
2015-11-03	Al Hasakah	3
2015-11-02	Al Hawl	1
2015-11-02	Al Hasakah	2
2015-11-02	Ar Raqqah	1
2015-11-01	Al Hawl	3
2015-11-01	Mar'a	6
2015-11-01	Al Hawijah	1
2015-11-01	Bayji	1
2015-11-01	Mosul	2
2015-11-01	Ramadi	3
2015-11-01	Sinjar	7
2015-11-01	Sultan Abdallah	1
2015-11-01	Tal Afar	1
2015-10-31	Al Hawl	2
2015-10-31	Ar Raqqah	1
2015-10-31	Dayr Az Zawr	4
2015-10-31	Al Qaim	1
2015-10-31	Kisik	1
2015-10-31	Mosul	1
2015-10-31	Qayyarah	1
2015-10-31	Ramadi	4
2015-10-31	Sinjar	4
2015-10-31	Sultan Abdallah	1
2015-10-31	Tal Afar	1
2015-10-28	Mosul	2
2015-10-28	Ramadi	2
2015-10-28	Samarra	1
2015-10-28	Sinjar	4
2015-10-28	Sultan Abdallah	1
2015-10-28	Tal Afar	4
2015-10-26	Bayji	1
2015-10-26	Habbaniyah	2
2015-10-26	Kisik	1
2015-10-26	Mosul	1
2015-10-26	Ramadi	5
2015-10-26	Sinjar	3
2015-10-26	Sultan Abdallah	1
2015-10-26	Tal Afar	1
2015-10-26	Al Hawijah	2
2015-10-25	Bayji	1
2015-10-25	Fallujah	1
2015-10-25	Kisik	8
2015-10-25	Mosul	2
2015-10-25	Ramadi	5
2015-10-25	Sinjar	5
2015-10-24	Al Baghdadi	1
2015-10-24	Al Qaim	1
2015-10-24	Albu Hayat	1
2015-10-24	Ar Rutbah	1
2015-10-24	Fallujah	1
2015-10-24	Kisik	1
2015-10-24	Mosul	2
2015-10-24	Ramadi	7
2015-10-24	Sinjar	3
2015-10-24	Sultan Abdallah	1
2015-10-24	Tal Afar	2
2015-10-22	Ar Raqqah	1
2015-10-22	Washiyah	1
2015-10-21	Manbij	4
2015-10-21	Kisik	6
2015-10-21	Ramadi	2
2015-10-21	Sinjar	4
2015-10-21	Sultan Abdallah	1
2015-10-21	Tal Afar	1
2015-10-20	Ar Raqqah	1
2015-10-20	Tal Jibbin	1
2015-10-20	Kisik	2
2015-10-20	Makhmur	1
2015-10-20	Mosul	1
2015-10-20	Ramadi	2
2015-10-20	Sinjar	8
2015-10-20	Tal Afar	1
2015-10-19	Manbij	1
2015-10-19	Al Baghdadi	1
