lat	lng	name	style	anchor
35.612823	39.847580	Euphrates river	river	right
36.890343	38.350011	Kobani		
36.511304	40.743107	Hasakah	minor	right
36.314216	41.862443	Sinjar		right
33.435279	43.281158	Ramadi		right
36.202105	37.13426	Aleppo		
33.513807	36.276528	Damascus	capital	
34.732427	36.713696	Homs		
35.140888	36.755199	Hama	minor	
35.959411	38.998105	Raqqa		
35.329652	40.135034	Deir ez-Zor		
33.312806	44.361488	Baghdad	capital	
30.508103	47.783489	Basra		right
36.356648	43.164	Mosul		
36.206293	44.00887	Irbil	minor	
35.465576	44.380392	Kirkuk		
