name	lat	lng
Ar Raqqah	35.959411	38.998105
Abu Kamal	34.465326	40.908183
Al Hasakah	36.511304	40.743107
Ayn Isa	36.392222	38.863889
Dayr Az Zawr	35.329652	40.135034
Mar’a	36.481310	37.196231
Al Hawl	36.382832	41.156479
Al Bab	36.372133	37.516141
Manbij	36.535285	37.967865
Al Bukamal	34.465326	40.908183
Aleppo	36.202105	37.13426
Kobani	36.890343	38.350011
Tal Abyad	36.520896	39.237551
Idlib	35.931027	36.641778
Palmyra	34.570012	38.292165
Tadmur	34.570012	38.292165
Tal Hamis	36.758592	41.398858
Tal Jibbin	36.358523	37.144701
Washiyah	36.378895	37.217810
Hasakah	36.511304	40.743107
Tamakh	35.606102	37.134421
